position,playedGames,form,won,draw,lost,points,goalsFor,goalsAgainst,goalDifference,id,name,shortName,tla,crest
1,38,,26,7,5,85,71,27,44,57,Arsenal FC,Arsenal,ARS,https://crests.football-data.org/57.png
2,38,,23,9,6,78,77,35,42,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png
3,38,,20,11,7,71,69,50,19,66,Manchester United FC,Man United,MUN,https://crests.football-data.org/66.png
4,38,,19,8,11,65,56,49,7,58,Aston Villa FC,Aston Villa,AVL,https://crests.football-data.org/58.png
5,38,,17,9,12,60,63,53,10,64,Liverpool FC,Liverpool,LIV,https://crests.football-data.org/64.png
6,38,,13,18,7,57,58,54,4,1044,AFC Bournemouth,Bournemouth,BOU,https://crests.football-data.org/bournemouth.png
7,38,,14,12,12,54,42,48,-6,71,Sunderland AFC,Sunderland,SUN,https://crests.football-data.org/71.png
8,38,,14,11,13,53,52,46,6,397,Brighton & Hove Albion FC,Brighton Hove,BHA,https://crests.football-data.org/397.png
9,38,,14,11,13,53,55,52,3,402,Brentford FC,Brentford,BRE,https://crests.football-data.org/402.png
10,38,,14,10,14,52,58,52,6,61,Chelsea FC,Chelsea,CHE,https://crests.football-data.org/61.png
11,38,,15,7,16,52,47,51,-4,63,Fulham FC,Fulham,FUL,https://crests.football-data.org/63.png
12,38,,14,7,17,49,53,55,-2,67,Newcastle United FC,Newcastle,NEW,https://crests.football-data.org/67.png
13,38,,13,10,15,49,47,50,-3,62,Everton FC,Everton,EVE,https://crests.football-data.org/62.png
14,38,,11,14,13,47,49,56,-7,341,Leeds United FC,Leeds United,LEE,https://crests.football-data.org/341.png
15,38,,11,12,15,45,41,51,-10,354,Crystal Palace FC,Crystal Palace,CRY,https://crests.football-data.org/354.png
16,38,,11,11,16,44,48,51,-3,351,Nottingham Forest FC,Nottingham,NOT,https://crests.football-data.org/351.png
17,38,,10,11,17,41,48,57,-9,73,Tottenham Hotspur FC,Tottenham,TOT,https://crests.football-data.org/73.png
18,38,,10,9,19,39,46,65,-19,563,West Ham United FC,West Ham,WHU,https://crests.football-data.org/563.png
19,38,,4,10,24,22,38,75,-37,328,Burnley FC,Burnley,BUR,https://crests.football-data.org/328.png
20,38,,3,11,24,20,27,68,-41,76,Wolverhampton Wanderers FC,Wolverhampton,WOL,https://crests.football-data.org/76.png
